source_id,ra,ra_error,dec,dec_error,l,b,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,teff_val
2810539741379024256,348.2660296327667,0.08093165204973693,10.469532027497607,0.06205815176895895,87.22757387139798,-45.473071761591164,19.9566070128223,0.09050575538440263,10.516795,1.4765577,4.900259199123205,0.8165721948153679,4421.553
4096845716062029952,277.955612146132,0.7659686764964204,-16.619555245730865,1.0755461479244102,15.93109986814128,-3.2972854796717477,19.956359180005062,1.2937273485091623,19.150331,1.3885174,,,
1823959949326991104,295.3246509576657,0.7141605620587604,17.096744371430557,0.8202814360176564,53.79614983987174,-2.840664127352685,19.95625197123532,1.8636546982654074,20.457312,1.557066,,,
1825767752634818048,295.4888870057168,1.043535287785818,20.454528490376717,0.8204215835479496,56.794076443272566,-1.316303088379524,19.956208173570314,1.9370583389997014,19.983747,2.6290417,,,
1456445507681225856,204.66360207684914,1.2387254851058216,30.724023822276617,1.2931905364635392,54.919867638294356,79.06778021661056,19.95615388958822,1.6798248360674592,11.284881,0.73373413,-10.0269602303535,4.732775721139083,6302.0
1861054344925140608,307.82555868792315,0.9376055932913386,30.662625596271845,1.4086471444643278,71.39338568443736,-5.197147735742422,19.95614824719227,1.761901712432933,19.730509,1.8336887,,,
2373499503019367808,7.972718991562589,0.04143598820161649,-16.173842621767232,0.034765723779767145,99.46240200881759,-78.14528246154354,19.956110396287084,0.05320832601406957,13.4307,2.6057177,,,3681.9102
3618704805252187392,208.50380252746584,0.06373288179213903,-8.902951720920496,0.054746038130260306,327.923997297741,50.907025645549254,19.95608187625401,0.0858897704022292,14.222629,2.8514748,,,3935.94
3342714394404404608,91.45784416841012,0.28329093702589375,12.612438499304833,0.2930753223520413,196.4903897882634,-4.13609075551831,19.95605848345289,0.36817937167304216,12.350067,2.0562677,-0.8028908031566964,0.5168643704538396,3737.7266
3864796879305569920,165.13637824333625,0.06557280242991374,6.692099475314105,0.05388514304849053,245.68091130066594,56.677612423681246,19.956039749801675,0.071510010304638,14.223657,2.9804916,,,4059.6675
4995690286925111424,0.12338501161592619,0.49988643731368454,-42.848868739116554,0.44354834574331903,333.00124378271425,-71.18062422566491,19.95600918252591,0.6589511111663456,15.797898,3.0014238,,,3589.4248
2929797716039018752,110.83417270293157,1.2601527975739466,-20.576177276861156,1.6112877223713638,234.79473532304002,-2.559701781935239,19.956005405211677,2.390205718498434,20.519665,0.5999813,,,
4048948618702377472,273.09072081168034,0.5593796474869536,-31.64661866867181,0.8350952239708873,0.5123151577711075,-6.355285990224178,19.955979617475418,1.033107843778598,19.021347,,,,
6395686519744160768,332.5434603815119,0.04339688112292747,-70.57691069937722,0.047762708531946335,319.48865710777835,-40.97253685803779,19.95585309830286,0.06112904550402606,14.762032,2.9254456,,,3810.625
5961662718559038848,262.7830459933211,1.0583909154375952,-39.846469547654124,0.9075639953789449,349.17751056691884,-3.3023305628724646,19.955732900152224,1.8372558344955605,19.60373,1.9346333,,,
5852940401807498624,213.86844133448642,2.17642548397723,-64.25414112627215,1.366056837347841,311.9023675838713,-2.8558851738424402,19.955711187099276,2.6057077054047055,20.770693,1.8323078,,,
1815564490857651328,308.4806176375995,0.02705921430743652,18.87834631997428,0.029731534795561284,62.014757539240634,-12.50984659552987,19.955665583025056,0.03457345879355218,13.91971,2.5172787,,,3848.26
5418798888332847744,149.63500457313788,0.0216769642455798,-41.490084408699516,0.02488408761121608,271.4729266060488,10.585177491988949,19.955611297028796,0.02917383213932949,13.375932,2.4349413,-8.789480598673823,1.7363919850598202,4065.9727
1825035615321695872,296.12480198074314,0.9699927019751645,20.07387070102647,1.1122003412021146,56.76026134592074,-2.023150939797461,19.955571331200186,1.9213657209706612,20.156603,2.0968437,,,
4141511825365906560,258.78440337388514,1.7198325425948007,-12.815688826035965,1.2710228297781732,9.8831700916187,14.647251379945185,19.955561686329442,1.7756334471799204,20.253956,1.4430733,,,
3410505784542875008,69.72842551721509,0.0762041742901854,19.182069620328086,0.04207653254158043,179.21565299813122,-18.035024434034924,19.955501988648052,0.0798707638935606,12.913276,2.5093756,,,3794.25
5978240575123038592,256.7483531436859,1.828604290402532,-33.738087147534685,1.3859509260374276,351.4084501731056,4.156226540681234,19.955481963175483,1.9881751513683572,20.12893,1.8261395,,,
633815264538126208,144.6001244645573,0.057806218410049216,19.98053683091053,0.045523597888728756,211.3956937775018,45.45207936230031,19.955453398045695,0.06757077944156176,12.81548,2.4359922,21.838809809918693,1.429212734129404,3934.27
5865142300779637888,202.35083000918317,1.4455885359298875,-63.396678204031495,1.6004963918478086,307.1671454158833,-0.8375506038306183,19.955452566378543,1.9805996917465218,20.336565,1.0944138,,,
547825694242685184,47.98468137545759,0.13703976544903615,74.39328442928317,0.13201896054275708,132.11496287691554,14.083652773146527,19.95538937124288,0.16945543092952647,4.7871923,0.051213264,,,9141.0
4051949834450239488,276.6553509644701,0.5417999074892837,-26.92561321231009,0.5466584063498775,6.17243946886773,-6.934196169276601,19.955094616877705,0.6108492350269197,18.718578,1.0328426,,,
2024327041341321216,289.4912477834726,1.2282789759594768,26.78704802743678,1.6846174177156557,59.74189289748933,6.531407192102751,19.955025036647413,2.3571000680577714,19.97831,2.1372013,,,
5993249767769489280,243.35107980373056,1.680923652859127,-42.583048815251914,0.7450905954758308,337.78265845453586,6.220116414684804,19.954934843638693,2.0341038519562087,20.166576,2.0989437,,,
5958608004666484352,262.34987309970614,1.1553324499897732,-43.23073280817122,0.7874975557748791,346.1599782150428,-4.8833871965046995,19.954696429591415,1.244874220854872,20.059061,1.2994957,,,
